Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 348 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.0126
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 354 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.9405
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 360 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.4793
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 366 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.2404
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 372 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.8334
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 378 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.7550
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 384 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.9711
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 390 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.9408
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 396 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.6167
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 402 | Raw Crowd Count: 1.00 | Raw Flow Mag: 14.8453
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 408 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.6792
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 414 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.2997
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 420 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.4821
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 426 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.8969
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 432 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.6309
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 438 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.7273
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 444 | Raw Crowd Count: 1.00 | Raw Flow Mag: 14.0342
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 450 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.5574
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 456 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.5721
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 462 | Raw Crowd Count: 1.00 | Raw Flow Mag: 14.6034
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 468 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.7421
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 474 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.7591
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 480 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.1036
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 486 | Raw Crowd Count: 1.00 | Raw Flow Mag: 11.9047
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 492 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.6519
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 498 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.4978
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 504 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.6087
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 510 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.4969
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 516 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.6512
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 522 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.2882
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 528 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.2051
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 534 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.7659
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 540 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.0101
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 546 | Raw Crowd Count: 2.00 | Raw Flow Mag: 11.3738
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 552 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.0645
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 558 | Raw Crowd Count: 2.00 | Raw Flow Mag: 11.4807
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 564 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.5721
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 570 | Raw Crowd Count: 2.00 | Raw Flow Mag: 12.8971
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 576 | Raw Crowd Count: 1.00 | Raw Flow Mag: 13.8955
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 582 | Raw Crowd Count: 1.00 | Raw Flow Mag: 14.0155
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 588 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.8816
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 594 | Raw Crowd Count: 1.00 | Raw Flow Mag: 12.7946
